name of item,price,number of downloads,item URL
"Rainbow Birthday Invitation for Girls, Gold Stars Modern/Boho Rainbow, Fun Girls Birthday Invitation Template, Editable Printable Download",7.58,1200,https://www.etsy.com/listing/1403889846/rainbow-birthday-invitation-for-girls?click_key=4bab2429643f1d867cc4781f565d5681542ba994%3A1403889846&click_sum=7865cfa6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-39&bes=1&sts=1&dd=1
"Editable Minecraft Birthday Invitation, Minecrafter birthday invitations, Minecraft Birthday Invitation, Gamer invitation, Editable Canva",9.87,66,https://www.etsy.com/listing/1576119048/editable-minecraft-birthday-invitation?click_key=c3f7e5f31e9e73914fb6835b659470111eee0465%3A1576119048&click_sum=e63e3978&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-40&bes=1&dd=1
Happy Birthday Card - DIGITAL Download - Printable Birthday Card Featuring Colorful Balloons - Printable Happy Birthday Card -Printable Card,7.72,116,https://www.etsy.com/listing/1553325189/happy-birthday-card-digital-download?click_key=4242e6e7f077720c73d9ad056be1dd90e2a36f9a%3A1553325189&click_sum=8b3541f0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-41&pro=1&bes=1&sts=1&dd=1
Editable Card Canva Template | Greeting Card Template | Customizable Card | Blank Card Template | Commercial License Canva Template,27.21,106,https://www.etsy.com/listing/1299735295/editable-card-canva-template-greeting?click_key=f8fffb2dc6d7f8aab4ee1e33a73a7f3a645a5b2d%3A1299735295&click_sum=129f8c22&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-42&dd=1
"Printable Dog Birthday Card, Printable Birthday Card Funny, Digital Birthday Card from Dog, 5x7 Greeting Card, Printable Envelope",15.49,831,https://www.etsy.com/listing/1046469069/printable-dog-birthday-card-printable?click_key=f7b0160922fab120504a0da8099a5f815d8769ac%3A1046469069&click_sum=f5e0e121&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-43&sts=1&dd=1
"Business Card Template Design, Instagram Business Card, Beauty Artist Hair Nails Boutique Business Card Canva Template",6.35,1100,https://www.etsy.com/listing/1495818654/business-card-template-design-instagram?click_key=1a9cb968ae913786200b3417382d906096288ffa%3A1495818654&click_sum=2a688441&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-44&pro=1&bes=1&sts=1&dd=1
Editable Card Canva Template | Greeting Card Template | Customizable Card | Blank Card Template | Commercial License Canva Template,27.21,106,https://www.etsy.com/listing/1285839300/editable-card-canva-template-greeting?click_key=b2d5f77f8ef63c652de1716b17e213cf44e6e68a%3A1285839300&click_sum=d650aca5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-45&dd=1
Editable Card template for Canva | Greeting card template | Blank card | Customizable card | Canva Card Template,19.39,71,https://www.etsy.com/listing/1400666527/editable-card-template-for-canva?click_key=3acaf5a8ed0f855061c2682d74cd8982d06db2ae%3A1400666527&click_sum=eeb484c3&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-46&pro=1&dd=1
"Birthday Card Template, Happy Birthday Card Canva Template, Print at Home Birthday Card",33.66,86,https://www.etsy.com/listing/1523470948/birthday-card-template-happy-birthday?click_key=e1b9c73d6d4830dfd67ea0bdbb54b08421fab2a0%3A1523470948&click_sum=bd471ccd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-47&sts=1&dd=1
"Birthday Card, Canva Template Featuring Watercolor Forest Scene, Perfect for Celebrating Loved Ones, Great Birthday Gift",10.31,3,https://www.etsy.com/listing/1603212380/birthday-card-canva-template-featuring?click_key=b4bc71989d0aa0395961105450b002ba5c746dcd%3A1603212380&click_sum=2defd62a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-48&pro=1&dd=1
