name of item,price,number of downloads,item URL
"Roblox Birthday Invitation, Roblox Game Party, Roblox Invitation, Kids Roblox Invite, Printable Editable Template Canva, Instant Download",14.51,22,https://www.etsy.com/listing/1611872823/roblox-birthday-invitation-roblox-game?click_key=e3cf5f247e84289f75130f79f0af5d52f4f3f4ef%3A1611872823&click_sum=37ca7bb0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-7&pro=1&dd=1
"Magazine Cover Template, Birthday Magazine Cover, Graduation Magazine Cover Template, Custom Magazine, Birthday Invitation, Birthday Flyer",34.93,20,https://www.etsy.com/listing/1449650930/magazine-cover-template-birthday?click_key=d1cbd746abbfbfc3b8e188c946623cb28d5bc120%3A1449650930&click_sum=1d8509c1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-8&pro=1&sts=1&dd=1
Animated Photo Collage Birthday Card Template for Mobile Phone. Contemporary design. Editable Canva. Greeting E-Card Video,26.13,376,https://www.etsy.com/listing/1390438078/animated-photo-collage-birthday-card?click_key=e9b8ba032b7667c544b243f0d260f6ea549de5a3%3A1390438078&click_sum=8cc389a8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-9&sts=1&dd=1
"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",6.79,16,https://www.etsy.com/listing/1576977768/printable-birthday-card-instant-download?click_key=c3a539b4a55374293a0a222bad03aa8da5c55d18%3A1576977768&click_sum=221c1774&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-10&pro=1&dd=1
"Greeting Card Template Bundle for 5x7 4x6 and 4.75x4.75, Canva Template, Drag and drop, Printable Card Template, 12 templates,Commercial Use",15.49,58,https://www.etsy.com/listing/1535311534/greeting-card-template-bundle-for-5x7?click_key=2abf1ffea8b166041493c8fc80541e730e44ec5d%3A1535311534&click_sum=c5c5dfc0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-11&sts=1&dd=1
Custom Birthday Card Canva Template for Birthday Card Template Online Printable Instant Download Birthday Card Photo Custom Card Birthday,2.95,14,https://www.etsy.com/listing/1465239744/custom-birthday-card-canva-template-for?click_key=204894781b09e217728048c4259a5d247a6b89ec%3A1465239744&click_sum=b3fb6eb5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-12&pro=1&dd=1
"Printable Birthday Card, Instant Download, Digital Greeting Card, Happy Birthday Card, Print at Home",6.79,16,https://www.etsy.com/listing/1555650429/printable-birthday-card-instant-download?click_key=50a2a83443f3f5ded79f761d9878a16b0d61dfe3%3A1555650429&click_sum=b4db55d7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-13&pro=1&bes=1&dd=1
Instagram UI-Inspired Customizable Business Card Template | Editable Canva Design | Unique & Modern Networking Card | QR Code | PDF Guide,7.77,72,https://www.etsy.com/listing/1465326233/instagram-ui-inspired-customizable?click_key=96bb763cdf729bc8bbf6f157d9e101485ad14592%3A1465326233&click_sum=d2651290&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-14&bes=1&dd=1
"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 4x6, 5x7, 4.75x4.75 Blank Foldable Cards, Instant Download",9.33,512,https://www.etsy.com/listing/1491024177/drag-and-drop-greeting-card-templates?click_key=2c9e0c154a9a20607c95601ed7f583c7f1f4ff57%3A1491024177&click_sum=39ce6b05&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-15&pro=1&dd=1
Animated Birthday Card Template for Mobile Phone. Contemporary Birthday Cake Design. Editable Canva. Greeting E-Card Video,26.13,376,https://www.etsy.com/listing/1394595444/animated-birthday-card-template-for?click_key=db9fdd2b84e2d163e44cda401cfd7574f16d5ef6%3A1394595444&click_sum=24477499&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-16&sts=1&dd=1
